row_idx,set,gap_mm,Q_total_mL_min,j_mA_cm2,phi_AN,We_aq,We_org,FE_ADN_obs,FE_PN_obs,FE_TCH_obs,FE_ADN_pred,FE_PN_pred,FE_HER_pred,FE_TCH_pred,V_cathode_pred,converged
38,holdout,0.25,10.0,80,0.2900,0.3300,4.5000e-02,45.80,20.80,9.10,59.77,7.61,15.76,16.86,-1.8417,1
39,holdout,0.25,10.0,85,0.1600,0.4700,1.4000e-02,33.40,40.50,0.20,60.31,7.55,15.72,16.41,-1.8456,1
40,holdout,0.25,10.0,101,0.0800,0.5600,3.4000e-03,50.20,29.10,6.30,62.61,7.22,16.32,13.86,-1.8595,1
41,holdout,0.25,10.0,116,0.2400,0.3800,3.1000e-02,40.40,22.80,7.30,62.06,7.40,14.75,15.78,-1.8616,1
42,holdout,0.25,10.0,131,0.0400,0.6100,8.6000e-04,20.90,13.50,0.10,66.69,4.96,24.25,4.10,-1.9025,1
43,holdout,0.25,10.0,147,0.2000,0.4200,2.1000e-02,25.80,29.90,4.30,63.70,7.23,14.28,14.79,-1.8749,1
44,holdout,0.25,10.0,162,0.1200,0.5100,7.7000e-03,36.50,24.60,5.50,64.63,7.10,14.30,13.96,-1.8814,1
45,holdout,0.25,10.0,177,0.2800,0.3400,4.2000e-02,38.00,19.80,8.50,64.75,7.13,13.77,14.36,-1.8844,1
47,holdout,0.25,10.0,208,0.1800,0.4400,1.7000e-02,23.20,28.70,3.80,66.26,6.92,13.79,13.03,-1.8951,1
48,holdout,0.25,10.0,223,0.1000,0.5400,5.4000e-03,28.80,18.40,5.00,67.17,6.76,14.03,12.04,-1.9009,1
49,holdout,0.25,10.0,239,0.2600,0.3600,3.6000e-02,34.90,23.40,7.00,67.02,6.84,13.41,12.73,-1.9021,1
50,holdout,0.25,10.0,254,0.0600,0.5800,1.9000e-03,20.20,19.70,3.80,70.66,5.11,19.47,4.76,-1.9310,1
51,holdout,0.25,10.0,269,0.2200,0.4000,2.6000e-02,21.90,25.90,4.30,68.14,6.66,13.47,11.73,-1.9101,1
52,holdout,0.25,10.0,285,0.1400,0.4900,1.1000e-02,19.70,23.40,4.00,69.02,6.48,13.83,10.67,-1.9157,1
54,holdout,0.25,10.0,290,0.2900,0.3300,4.5000e-02,45.40,14.20,9.30,68.45,6.64,13.20,11.72,-1.9133,1
